,Smiles,descriptor,Common Name
47,CCCCCC(C=C)OC(=O)C,Train,1-Octen-3-yl acetate
48,CCCCCCCCCCCCCCC=O,Train,Pentadecanal
49,CCCCCCC(C)O,Train,Octan-2-ol
50,CCCCCCOC(=O)CCCCC,Train,Hexyl Hexanoate
51,CCCCCCOC(=O)C1=CC=CC=C1,Train,Hexyl benzoate
52,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1N)C,Train,Linalyl Anthranilate
53,C=CCOC(=O)COC1=CC=CC=C1,Train,Allyl phenoxyacetate
54,CCCCCCCCCCCCC=O,Train,Tridecanal
55,CC1=CCC(CC1)(C(C)CCC=C(C)C)O,Train,beta-Bisabolol
56,CC1CCOC(C1)C=C(C)C,Train,Rose oxide
57,CC(CCCC(C)(C)O)C=C,Train,Dihydromyrcenol
58,CCCCCCCCC=O,Train,Nonanal
59,CC1CCC(C(=O)C1)C(=C)C,Train,Isopulegone
60,CC1=CC=C(C=C1)CC=O,Validation,104-09-6
61,CC(CCC=C(C)C)C=O,Train,"2,6-Dimethyl-5-heptenal"
62,CCCCCCCCOC(=O)CCC,Validation,Octyl butyrate
63,CCCCCCCCCC(C)C=O,Test,2-Methylundecanal
64,CC(=O)OCCCCCCCCCC=C,Train,10-Undecen-1-yl acetate
65,CC1=C(C(CC=C1)(C)C)C=O,Train,Safranal
66,CCC(=O)OC(C)(CCC=C(C)C)C=C,Train,Linalyl propionate
67,CC1=CC(C2CC1C2(C)C)O,Train,Verbenol
68,CCCCCCC(=O)CC,Test,3-Nonanone
69,CCCC(CC(=O)OCC)O,Validation,Ethyl 3-hydroxyhexanoate
70,CCCCCCCCCCCCCC(=O)C,Train,2-Pentadecanone
71,CCCCCCCC(=O)OCCCCCCC,Train,Heptyl Octanoate
72,CC(CCC=C(C)C)CCOCC=O,Train,Citronellyloxyacetaldehyde
73,CCC(C)(CCC1=CC=CC=C1)O,Test,3-Methyl-1-phenyl-3-pentanol
74,CCC(C)C1CCCCC1=O,Test,2-sec-Butylcyclohexanone
75,CCC(=O)SCC=C,Train,S-Allyl thiopropionate
76,CCCCCC1=C(CCC1=O)C,Validation,Dihydrojasmone
77,CC(C)C1=CC=C(C=C1)CCC=O,Train,7775-00-0
78,CCCC(C)C(=O)OCC,Train,Ethyl 2-methylpentanoate
79,C[C@H](CCC=C(C)C)CC=O,Train,(R)-(+)-Citronellal
80,CCOC(CC1=CC=CC=C1)OCC,Train,"(2,2-Diethoxyethyl)benzene"
81,CCCCCCCCCC(=O)OCCCCCC,Train,Hexyl decanoate
82,CCCCCCCCCCCC(OC)OC,Train,"1,1-Dimethoxydodecane"
83,CCCCCCCCC(OC)OC,Train,"1,1-Dimethoxynonane"
84,CC(C)CCOCCC1=CC=CC=C1,Validation,Anther
85,CC1([C@@H]2CC[C@@H](C2)C1=C)C,Train,(+)-Camphene
86,CCOC(=O)CC1(OCC(O1)C)C,Train,6290-17-1
87,CCCCCOC(=O)CC(C)C,Test,Pentyl isovalerate
88,CCOC(C)OC(=O)C,Train,1-Ethoxyethyl acetate
89,CCCCC(CC)C(=O)OCC,Test,Ethyl 2-ethylhexanoate
90,CC(=CCC(C)(C)C(OC)OC)C,Train,67674-46-8
91,CC(=O)OC1C(C2CCC1(C2)C)(C)C,Test,Fenchyl acetate
92,CC1CC(OC(O1)C)(C)C2=CC=CC=C2,Train,"2,4,6-Trimethyl-4-phenyl-1,3-dioxane"
93,CC1CCC2CC1SC2(C)C,Train,"2,8-Epithio-p-menthane"
94,CC(=C)[C@@H]1CC[C@@](C=C1)(C)O,Train,UNII-R1AUQ945JN
95,CC1=CCC(CC1)C2(CO2)C,Train,2-Methyl-2-(4-methyl-3-cyclohexen-1-yl)oxirane
96,CC12CCCC(C1=NO)(CC2)C,Train,75147-23-8
97,CCCCCCCC(CCCC(=O)OCC(CO)O)O,Train,"2,3-Dihydroxypropyl 5-hydroxydodecanoate"
98,CCCCCCC(CCOC(=O)C)O,Train,3-Hydroxynonyl acetate
99,CCCCCC(=O)CC,Test,3-Octanone
100,CCCCCCC1(CCC(=O)O1)C,Train,Dihydrojasmone lactone
101,CC1CCC=C2C1(CC(CC2)C(=C)C)C,Validation,Valencen
102,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,Train,Curcumenol
103,CC1=CC[C@@H](CC1)C(=C)C,Train,D-Limonene
104,CC1([C@H]2CCC(=C)[C@@H]1C2)C,Validation,(-)-beta-Pinene
105,CC1=CC[C@H]2C[C@@H]1C2(C)C,Test,(-)-alpha-Pinene
106,CC(=CCC[C@](C)(C=C)O)C,Train,(-)-Linalool
107,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,Train,farnesol
108,C1=CC=C(C=C1)CCCC2=CC=CC=N2,Train,2-(3-Phenylpropyl)Pyridine
109,CC(C)C1=CC=C(C=C1)CC(C)C=O,Test,103-95-7
110,CC1=CCC(C=C1)C(C)CCC=C(C)C,Train,(-)-Zingiberene
111,CC/C=C/CC/C=C/C=O,Validation,"2,6-Nonadienal"
112,CC(=CCC/C(=C/CCC(=O)C)/C)C,Train,Geranylacetone
113,CCCCCC/C(=C\C1=CC=CC=C1)/C=O,Train,Hexyl cinnamic aldehyde
114,CC(=CCC/C(=C\CCC(=O)C)/C)C,Train,Nerylacetone
115,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@@H]1O2,Validation,Caryophyllene oxide
116,CCC/C=C/COC(=O)C,Train,trans-2-Hexenyl acetate
117,CCCC1CC(=CC(=O)C1)C,Validation,Celery ketone
118,CC/C=C\CCO,Train,(Z)-Hex-3-en-1-ol
119,CC(=CCC/C(=C/COC=O)/C)C,Test,Geranyl formate
120,CCCCCCC/C=C/C(=O)O,Train,2-Decenoic acid
121,CCCC/C=C/C=O,Validation,(E)-Hept-2-enal
122,CCCCC/C=C/C=O,Train,trans-2-Octenal
123,CCCCC/C=C/C=C/C=O,Train,"(2E,4E)-deca-2,4-dienal"
124,CCCCCCCC/C=C/C=O,Train,2-Undecenal
125,CC/C=C/CCO,Train,trans-3-Hexen-1-ol
126,CCC/C=C/CO,Train,trans-2-Hexen-1-Ol
127,CCCCC/C=C\C=C\C=C,Test,"(3E,5Z)-undeca-1,3,5-triene"
128,CCCC(=O)OCC/C=C\CC,Test,16491-36-4
129,CCC/C=C/CCC(=O)OCC,Test,Ethyl trans-4-octenoate
130,CC/C=C\CCCCO,Validation,cis-5-Octen-1-ol
131,CCCCC/C=C\CCC=O,Validation,cis-4-Decenal
132,CC/C=C\CC(=O)OCC,Train,Ethyl (Z)hex-3-enoate
133,CC/C=C\CCCCCO,Train,cis-6-Nonen-1-ol
134,CC/C=C\CCOC(=O)C,Train,cis-3-Hexenyl acetate
135,CC(=CCC/C(=C/CCC(C)(C=C)OC(=O)C)/C)C,Validation,Nerolidyl acetate
136,C/C=C/C=C/COC(=O)C,Train,Sorbyl acetate
137,CCCC/C=C\CCO,Train,cis-3-Octen-1-ol
138,CCCCC/C=C\CCO,Test,cis-3-Nonen-1-ol
139,CCCCCCC/C=C/CO,Validation,trans-2-Decen-1-ol
140,CC/C=C\CCOC(=O)CC,Train,cis-3-Hexenyl propionate
141,CC/C=C\CCOC(=O)C(C)CC,Train,53398-85-9
142,CC/C=C\CCOC=O,Train,cis-3-Hexenyl formate
143,CCC/C=C/CCC(=O)OC,Train,"4-Octenoic acid, methyl ester"
144,CC/C=C\CCCO,Test,cis-4-Hepten-1-ol
145,CC/C=C\CCOC(=O)CC(C)C,Train,cis-3-Hexenyl isovalerate
146,CC/C=C\CCOC(=O)C1=CC=CC=C1,Train,cis-3-Hexenyl benzoate
147,CC/C=C/CC1C(CCC1=O)CC(=O)OC,Train,Methyl jasmonate
148,CCCCCCC/C=C/C(=O)OC,Train,Methyl 2-decenoate
149,CCCCCC(CCCC(=O)OCC(CO)O)O,Train,"2,3-dihydroxypropyl 5-hydroxydecanoate"
150,CCOC(/C=C(/C)\CCC=C(C)C)OCC,Train,Neral diethyl acetal
151,CC/C=C/CCOC(=O)C(C)CC,Train,3-Hexenyl 2-methylbutanoate
152,CCC[C@@H](CCC(C)OC)C(C)C,Test,"cis-limonene 1,2 oxide"
153,C[C@@H]1CC[C@@H]2[C@]13CC=C([C@H](C3)C2(C)C)C,Train,Cedr-8-ene
154,CC(=C)[C@@H]1CC[C@@]([C@@H](C1)C(=C)C)(C)C=C,Train,Beta-Elemene
